name,brand,price,old_price,image,usage_category,portability_tier,screen_size,screen_quality,gpu_tier,battery_wh,weight_kg,specs,stock_quantity,in_stock
"ASUS ROG Strix SCAR 18",ASUS,35000.00,37999.00,images/products/rog-scar18.png,gaming,desktop_replacement,18,high_refresh,dedicated,90,2.7,"{""CPU"": ""Intel Core i9-14900HX (24 Cores)"", ""RAM"": ""32GB DDR5 5600MHz"", ""Storage"": ""2TB PCIe Gen4 NVMe SSD"", ""GPU"": ""NVIDIA GeForce RTX 4090 16GB GDDR6 (175W)""}",5,1
"Lenovo ThinkPad X1 Carbon Gen 12",Lenovo,19500.00,21999.00,images/products/x1carbon.png,business,ultralight,14,standard,integrated,57,1.12,"{""CPU"": ""Intel Core Ultra 7 165U (12 Cores)"", ""RAM"": ""32GB LPDDR5"", ""Storage"": ""1TB PCIe Gen4 SSD"", ""GPU"": ""Intel Graphics""}",5,1
"HP Pavilion Aero 13",HP,7499.00,8499.00,images/products/pavilion13.png,student,ultralight,13.3,standard,integrated,43,0.99,"{""CPU"": ""AMD Ryzen 5 7535U (6 Cores / 12 Threads)"", ""RAM"": ""16 GB LPDDR5 6400MHz"", ""Storage"": ""512 GB PCIe NVMe M.2 SSD"", ""GPU"": ""AMD Radeon 660M Graphics""}",15,1
"Apple MacBook Pro 16 M3 Max",Apple,39999.00,,images/products/macbookpro16.png,creative,standard,16.2,oled,dedicated,100,2.16,"{""CPU"": ""Apple M3 Max Chip (16-core CPU)"", ""RAM"": ""48 GB Unified Memory"", ""Storage"": ""1 TB Superfast PCIe SSD"", ""GPU"": ""Apple M3 Max (40-core GPU)""}",3,1
"ASUS ROG Zephyrus G14",ASUS,21999.00,23999.00,images/products/zephyrus-g14.png,gaming,ultralight,14,oled,dedicated,72,1.65,"{""CPU"": ""AMD Ryzen 9 8945HS (8 Cores / 16 Threads)"", ""RAM"": ""32GB LPDDR5X Dual-Channel"", ""Storage"": ""1TB PCIe 4.0 NVMe M.2 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4070 8GB GDDR6 (90W)""}",7,1
"ASUS ROG Strix G16",ASUS,18500.00,19999.00,images/products/rog-g16.png,gaming,desktop_replacement,16,high_refresh,dedicated,90,2.5,"{""CPU"": ""Intel Core i7-13650HX (14 Cores)"", ""RAM"": ""16GB DDR5 4800MHz"", ""Storage"": ""1TB PCIe Gen4 NVMe SSD"", ""GPU"": ""NVIDIA GeForce RTX 4060 8GB GDDR6 (140W)""}",8,1
"ASUS TUF Gaming A15",ASUS,9800.00,10999.00,images/products/tuf-a15.png,gaming,standard,15.6,high_refresh,dedicated,90,2.3,"{""CPU"": ""AMD Ryzen 7 7745HX (8 Cores / 16 Threads)"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB PCIe NVMe SSD"", ""GPU"": ""NVIDIA GeForce RTX 4060 8GB GDDR6""}",12,1
"ASUS TUF Gaming F15",ASUS,9500.00,,images/products/tuf-f15.png,gaming,standard,15.6,high_refresh,dedicated,90,2.3,"{""CPU"": ""Intel Core i7-12700H (14 Cores)"", ""RAM"": ""16GB DDR4"", ""Storage"": ""512GB PCIe NVMe SSD"", ""GPU"": ""NVIDIA GeForce RTX 3060 6GB GDDR6""}",6,1
"Lenovo Legion 5 Pro",Lenovo,17500.00,19000.00,images/products/legion5pro.png,gaming,desktop_replacement,16,high_refresh,dedicated,80,2.4,"{""CPU"": ""AMD Ryzen 7 7745HX (8 Cores / 16 Threads)"", ""RAM"": ""16GB DDR5 4800MHz"", ""Storage"": ""1TB PCIe Gen4 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4070 8GB GDDR6 (140W)""}",8,1
"Lenovo Legion 5i",Lenovo,13500.00,14999.00,images/products/legion5i.png,gaming,standard,15.6,high_refresh,dedicated,80,2.4,"{""CPU"": ""Intel Core i7-13700HX (16 Cores)"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB PCIe Gen4 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4060 8GB GDDR6""}",10,1
"Lenovo Legion Slim 5",Lenovo,14500.00,15999.00,images/products/legion-slim5.png,gaming,standard,16,high_refresh,dedicated,80,2,"{""CPU"": ""AMD Ryzen 7 7745HX (8 Cores)"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB PCIe Gen4 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4060 8GB GDDR6 (95W)""}",7,1
"MSI Katana 15",MSI,10500.00,11999.00,images/products/katana15.png,gaming,standard,15.6,high_refresh,dedicated,53,2.2,"{""CPU"": ""Intel Core i7-13620H (10 Cores)"", ""RAM"": ""16GB DDR5"", ""Storage"": ""512GB PCIe NVMe SSD"", ""GPU"": ""NVIDIA GeForce RTX 4060 8GB GDDR6""}",9,1
"MSI Stealth 16 Studio",MSI,28000.00,30999.00,images/products/stealth16.png,creative,desktop_replacement,16,oled,dedicated,99,2.1,"{""CPU"": ""Intel Core i9-13980HX (24 Cores)"", ""RAM"": ""32GB DDR5"", ""Storage"": ""2TB PCIe Gen4 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4080 12GB GDDR6""}",4,1
"MSI Creator M16",MSI,19000.00,20999.00,images/products/creator-m16.png,creative,standard,16,oled,dedicated,99,1.9,"{""CPU"": ""Intel Core i7-13700H (14 Cores)"", ""RAM"": ""32GB DDR5"", ""Storage"": ""1TB PCIe Gen4 SSD"", ""GPU"": ""NVIDIA GeForce RTX 4060 8GB GDDR6""}",6,1
