name,brand,category,price,old_price,badge,rating,reviews,image,in_stock,stock_quantity,reorder_level,specs
"Logitech G Pro X TKL",Logitech,keyboard,1699.00,1899.00,Gaming,4.8,1240,images/products/logitech-g-pro-x-tkl.png,1,20,5,"{""Type"": ""Mechanical"", ""Switches"": ""GX Brown Tactile"", ""Layout"": ""TKL (87 keys)"", ""Backlight"": ""RGB LIGHTSYNC"", ""Connection"": ""USB-C Detachable"", ""Weight"": ""830g""}"
"Razer Huntsman V3 Pro",Razer,keyboard,2299.00,2499.00,Hot,4.9,870,images/products/razer-huntsman-v3-pro.png,1,12,3,"{""Type"": ""Mechanical"", ""Switches"": ""Razer Analog Optical"", ""Layout"": ""Full Size"", ""Backlight"": ""Chroma RGB"", ""Connection"": ""USB-C"", ""Weight"": ""1.04kg""}"
"Keychron K2 Pro",Keychron,keyboard,1199.00,,Best Value,4.7,2100,images/products/keychron-k2-pro.png,1,25,8,"{""Type"": ""Mechanical"", ""Switches"": ""Gateron G Pro Brown"", ""Layout"": ""75% (84 keys)"", ""Backlight"": ""RGB"", ""Connection"": ""Bluetooth 5.1 + USB-C"", ""Weight"": ""780g""}"
"Corsair K100 RGB",Corsair,keyboard,2499.00,2799.00,Premium,4.8,1560,images/products/corsair-k100-rgb.png,1,10,3,"{""Type"": ""Mechanical"", ""Switches"": ""Corsair OPX Optical"", ""Layout"": ""Full Size + Macro Keys"", ""Backlight"": ""Per-Key RGB"", ""Connection"": ""USB-A Detachable"", ""Weight"": ""1.32kg""}"
"SteelSeries Apex Pro",SteelSeries,keyboard,2199.00,,Pro,4.7,980,images/products/steelseries-apex-pro.png,1,15,5,"{""Type"": ""Mechanical"", ""Switches"": ""OmniPoint Adjustable Actuation"", ""Layout"": ""Full Size"", ""Backlight"": ""Per-Key RGB"", ""Connection"": ""USB-A"", ""Weight"": ""1.01kg""}"
"Logitech MX Keys S",Logitech,keyboard,1299.00,1499.00,,4.8,3200,images/products/logitech-mx-keys-s.png,1,30,8,"{""Type"": ""Membrane Scissor"", ""Switches"": ""Perfect Stroke Keys"", ""Layout"": ""Full Size Low-Profile"", ""Backlight"": ""Smart Illumination"", ""Connection"": ""Bluetooth + Logi Bolt USB"", ""Weight"": ""810g""}"
"HyperX Alloy Origins 65",HyperX,keyboard,899.00,1099.00,Sale,4.6,1450,images/products/hyperx-alloy-origins-65.png,1,18,5,"{""Type"": ""Mechanical"", ""Switches"": ""HyperX Red Linear"", ""Layout"": ""65% (Compact)"", ""Backlight"": ""RGB"", ""Connection"": ""USB-C Detachable"", ""Weight"": ""680g""}"
"Redragon K556 Devarajas",Redragon,keyboard,549.00,,Budget Pick,4.5,4800,images/products/redragon-k556.png,1,40,10,"{""Type"": ""Mechanical"", ""Switches"": ""Outemu Brown"", ""Layout"": ""Full Size"", ""Backlight"": ""RGB Backlit"", ""Connection"": ""USB-A Braided Cable"", ""Weight"": ""1.1kg""}"
"Logitech G915 TKL",Logitech,keyboard,2399.00,2699.00,Wireless,4.8,1890,images/products/logitech-g915-tkl.png,1,8,3,"{""Type"": ""Mechanical Low-Profile"", ""Switches"": ""GL Tactile"", ""Layout"": ""TKL"", ""Backlight"": ""LIGHTSYNC RGB"", ""Connection"": ""LIGHTSPEED Wireless + Bluetooth"", ""Weight"": ""810g""}"
"Ducky One 3",Ducky,keyboard,1599.00,,Enthusiast,4.9,760,images/products/ducky-one-3.png,1,12,3,"{""Type"": ""Mechanical"", ""Switches"": ""Cherry MX Brown"", ""Layout"": ""Full Size"", ""Backlight"": ""RGB"", ""Connection"": ""USB-C Detachable"", ""Weight"": ""960g""}"
"Razer BlackWidow V4",Razer,keyboard,1499.00,1699.00,,4.7,2100,images/products/razer-blackwidow-v4.png,1,15,5,"{""Type"": ""Mechanical"", ""Switches"": ""Razer Green Clicky"", ""Layout"": ""Full Size + Macro Keys"", ""Backlight"": ""Chroma RGB"", ""Connection"": ""USB-A Braided"", ""Weight"": ""1.16kg""}"
"Akko 5075B",Akko,keyboard,699.00,,Custom Feel,4.6,1340,images/products/akko-5075b.png,1,20,5,"{""Type"": ""Mechanical"", ""Switches"": ""Akko CS Jelly Pink"", ""Layout"": ""75% (82 keys)"", ""Backlight"": ""RGB South-facing"", ""Connection"": ""Bluetooth 5.0 + 2.4GHz + USB-C"", ""Weight"": ""750g""}"
